text,label
paid 4 coffee @ starbux,Food
monthly bus pass - £90,Transport
electricity bill!! £120,Utilities
UBER-45,Transport
amazon prime membership,Entertainment
shoes from footlocker - £60,Shopping
dentist appt,Health
mcdonalds run - $10,Food
water bill due - £30,Utilities
itunes purchase - $1.29,Entertainment
gas for car - $25,Transport
new laptop - £800,Shopping
gym membership - $50/mo,Health
rent - $1200,Home
internet bill - £40,Utilities
netflix subscription - $15,Entertainment
dog food - $20,Shopping
uber eats - $20,Food
phone bill - $100,Utilities
movie ticket - $12,Entertainment
groceries - $50,Food
train ticket - £100,Transport
coffee - $2,Food
spotify premium - $10,Entertainment
home decor - $50,Home
health insurance - $150,Health
pet store - $30,Shopping
cable bill - $75,Utilities
dinner @ restaurant - $50,Food
gasoline - $30,Transport
amazon purchase - $25,Shopping
doctor's visit - $50,Health
toll road - $5,Transport
video game - $60,Entertainment
home repair - $200,Home
electricity - £80,Utilities
breakfast - $10,Food
airbnb - $100,Home
yoga classes - $20,Health
music festival ticket - $100,Entertainment
car maintenance - $100,Transport
grocery shopping - $75,Food
streaming service - $15,Entertainment
furniture - $150,Home
pharmacy - $20,Health
department store - $50,Shopping
water - $2,Food
tv bill - $100,Utilities
concert ticket - $50,Entertainment
petrol - £20,Transport
online course - $50,Entertainment
house cleaning - $50,Home
medical bill - $500,Health
shoe store - $75,Shopping
phone case - $20,Shopping
therapist - $100,Health
mortgage - $1500,Home
car insurance - $100,Transport
gym classes - $30,Health
lunch @ cafe - $15,Food
home security - $50,Home
book purchase - $10,Shopping
prescription - $20,Health
music subscription - $10,Entertainment
roadside assistance - $50,Transport
property tax - $500,Home
cable subscription - $75,Utilities
dinner date - $50,Food
bike rental - $20,Transport
fashion store - $100,Shopping
hospital bill - $1000,Health
game console - $300,Entertainment
appliance repair - $100,Home
phone bill due,Utilities
gas bill - £30,Utilities
monthly parking - $50,Transport
health supplements - $20,Health
streaming device - $50,Entertainment
furniture rental - $100,Home
pet grooming - $30,Shopping
travel insurance - $50,Transport
coffee machine - $50,Food
home decor store - $75,Home
medical equipment - $100,Health
car rental - $40,Transport
bookstore - $25,Shopping
music lessons - $50,Entertainment
household items - $30,Home
vitamins - $15,Health
phone accessories - $20,Shopping
cable tv - $75,Utilities
restaurant meal - $30,Food
road trip gas - $50,Transport
online shopping - $50,Shopping
health club - $50,Health
home improvement - $100,Home
electronic store - $75,Shopping
movie night - $20,Entertainment
toll pass - $10,Transport
coffee shop - $5,Food
appliance purchase - $100,Home
gym membership dues,Health
fashion magazine - $10,Shopping
music festival - $100,Entertainment
car payment - $300,Transport
home cleaning services - $50,Home
pharmacy purchase - $20,Health
department store purchase - $50,Shopping
internet service - $40,Utilities
dinner at restaurant - $40,Food
concert - $50,Entertainment
pet store purchase - $30,Shopping
gas for lawn mower - $10,Home
health insurance premium - $150,Health
streaming service subscription - $15,Entertainment
car maintenance costs - $100,Transport
grocery run - $50,Food
furniture purchase - $200,Home
medical bill payment - $500,Health
shoe purchase - $75,Shopping
phone bill payment - $100,Utilities
movie ticket purchase - $12,Entertainment
train ticket purchase - £100,Transport
coffee purchase - $2,Food
spotify premium subscription - $10,Entertainment
home decor purchase - $50,Home
health club membership - $50,Health
pet purchase - $50,Shopping
cable bill payment - $75,Utilities
dinner at home - $20,Food
gasoline purchase - $30,Transport
doctor visit - $50,Health
toll road payment - $5,Transport
paid 4 uber,Transport
electricity bill -450,Utilities
cinema ticket rs.150,Entertainment
bought clothes @zara,Shopping
dentist consultation - $80,Health
purchsd new sofa @1k,Home
ordered dominoz - 250,Food
petrol fillup - 50 lit @ 90/lit,Transport
water bill - rs 1200,Utilities
booked flight tkt - $500,Transport
spotify premium -12$,Entertainment
medicines from apollo -300,Health
purchasd new tv @25k,Home
gym membership - 1500/Y,Health
movie ticket - $15,Entertainment
grocery shopping - 800,Food
bought new phone case - 8$,Shopping
car servicing - 2k,Transport
internets bill - $30,Utilities
travel insurance - $20,Transport
shoe purchse - rs 2500,Shopping
salon service - 400,Health
wall paint - 500,Home
gas bill - rs.800,Utilities
new book - $10,Entertainment
paid for uber-45,Transport
bought new bag - 50$,Shopping
fridge repair - 600,Home
doctors fee - rs 500,Health
rent - 25k,Home
pet food - 200,Food
music lesson - 30$,Entertainment
flight ticket - 20k,Transport
grocery - 1000,Food
bought new watch - 8k,Shopping
gym equip - 2k,Health
house maid - 4k,Home
school fee - 10k,Education
mobile bill - rs 300,Utilities
bought new laptop - 50k,Shopping
ac service - 1500,Home
car insurance - 15k,Transport
paid for playstation - 40k,Entertainment
paid library fees - rs 200,Entertainment
medical test - 1000,Health
car wash - 200,Transport
bought new mattress - 10k,Home
bougth coffee maker - $50,Home
groc - 1200,Food
bought stationary - 500,Shopping
water purifier - 8k,Home
toll tax - 100,Transport
purchasd new headphone - 2k,Entertainment
bought new pillow - 500,Home
travel bag - 2k,Shopping
bought new microwave - 4k,Home
doc fee - 1000,Health
gas cylinder - 500,Utilities
car parking - 50,Transport
purchasd new desk - 3k,Home
bought new phone - 20k,Shopping
rented movie - 50,Entertainment
bought new air purifier - 10k,Home
pocket money - 1000,Food
new toaster - 800,Home
bought new blender - 1k,Home
health insurance - 10k,Health
car loan emi - 15k,Transport
new chair - 2k,Home
purchasd new computer - 30k,Shopping
paid for netflix - 500,Entertainment
bought new table - 3k,Home
bought new vacuum cleaner - 5k,Home
bought new tv - 20k,Home
new mobile - 10k,Shopping
paid for amazon prime - 1000,Entertainment
bought new washing machine - 15k,Home
car fuel - 500,Transport
bought new fridge - 30k,Home
purchasd new ac - 25k,Home
bought new bike - 50k,Transport
new laptop bag - 800,Shopping
bought new water bottle - 200,Shopping
paid for yoga classes - 2k,Health
new glasses - 1k,Health
bought new pillow cover - 200,Home
bought new bed sheet - 500,Home
paid for zomato - 200,Food
bought new coffee table - 2k,Home
new book shelf - 1k,Home
paid for kindle - 6k,Shopping
bought new fan - 1k,Home
bought new light - 500,Home
paid for internet - 1000,Utilities
new mobile cover - 200,Shopping
bought new key chain - 100,Shopping
paid for medical checkup - 1500,Health
bought new file - 50,Shopping
paid for car maintenance - 5k,Transport
bought new dictionary - 200,Shopping
uber fare 2 nov - 23.50,Transport
paid for dominos,Food
eletricity bill nov - rs. 1500,Utilities
movie ticket - 250,Entertainment
bought new shoez 4 899,Shopping
doc appt - 500 rs.,Health
rent nov - 35k,Home
petrol fill up 2day - rs.567,Transport
pizzahut orderr 15 nov - rs. 800,Food
car servicing - rs. 1200,Transport
groc from more 22 oct - rs. 1876,Food
water bill nov - rs 200,Utilities
booked flight tkt - rs.15400,Transport
gym memership 12 nov - 3999,Health
mobile bill - rs. 450,Utilities
"online shoppin 10 nov - 2,399",Shopping
medical store bill no 0012 - rs. 89.50,Health
gas bill nov - rs 900,Utilities
bought new laptop today - rs 72000,Shopping
rent dec - rs. 35k,Home
petrol fill up 5 nov,Transport
foodpanda ord 18 nov - 300 rs,Food
house maintainence - rs 1000,Home
movie tickets - rs. 500,Entertainment
bought new cycle - rs.8000,Shopping
internet bill nov - rs. 1100,Utilities
dth recharge - rs 350,Utilities
zomato order - 250 rs,Food
uber eats 500 rs,Food
emi for car loan - rs. 25k,Transport
emi for home loan - rs. 50k,Home
flight ticket - rs 12000,Transport
medical bill - rs 5000,Health
shoppin bill - rs 1500,Shopping
utility bill - rs 2000,Utilities
entertainment exp - rs 3000,Entertainment
grocery bill - rs. 2500,Food
rented house - rs. 20000,Home
bought new tv,Shopping
paytm 150 rs,Food
phonepe 250 rs,Food
petrol 50 lit,Transport
emi for personal loan - 15000 rs,Shopping
car insurance - rs. 8000,Transport
bought new ac - rs 40000,Home
house repair - rs 20000,Home
credit card bill - rs. 10000,Shopping
bought new chair - 1500 rs,Home
emi for two wheeler loan - rs. 5000,Transport
flight ticket booking - rs. 20000,Transport
health insurance - rs. 12000,Health
bought new mobile - rs. 30000,Shopping
travel exp - rs. 20000,Transport
bought new table - rs. 8000,Home
car maintenance - rs. 5000,Transport
medical exp - rs. 10000,Health
bought new laptop bag - rs. 2000,Shopping
bought new book shelf - rs. 3000,Home
emi for credit card - rs. 5000,Shopping
house painting - rs. 15000,Home
bought new sofa - rs. 25000,Home
bought new dining table - rs. 12000,Home
travel insurance - rs. 5000,Transport
bought new gym equip - rs. 10000,Health
bought new wardrobe - rs. 8000,Shopping
bought new bed - rs. 15000,Home
bought new almirah - rs. 10000,Home
car washing - rs. 500,Transport
bought new tv stand - rs. 2000,Home
bought new home theatre - rs. 25000,Home
bought new refrigerator - rs. 40000,Home
bought new washing machine - rs. 20000,Home
bought new microwave - rs. 8000,Home
bought new air conditioner - rs. 35000,Home
bought new water purifier - rs. 15000,Home
bought new vacuum cleaner - rs. 10000,Home
credit card payment - rs. 10000,Shopping
debit card payment - rs. 5000,Shopping
net banking payment - rs. 20000,Shopping
upi payment - rs. 1000,Food
bought new phone case - rs. 500,Shopping
bought new earphone - rs. 2000,Shopping
bought new power bank - rs. 1500,Shopping
emi for two wheeler - rs. 3000,Transport
emi for car - rs. 25000,Transport
emi for home - rs. 50000,Home
uber-45,Transport
paid electricity bill Rs.1500,Utilities
bought cinema tickets 4,Entertainment
flipkart shopping 999,Shopping
dentist appointment,Health
home renovation $5000,Home
zomato 80,Food
petrol 1200,Transport
water bill due -700,Utilities
amazon prime membership $14.99,Entertainment
ajio shopping 1299,Shopping
consulted doc @apollo hosp,Health
rent 25000,Home
dominos 250,Food
cab fare 100,Transport
paid 1800 for wifi,Utilities
bookmyshow 300,Entertainment
myntra shopping 799,Shopping
pathology test 1200,Health
painted my house 15000,Home
kfc bucket 400,Food
auto fare 50,Transport
gas bill due 2000,Utilities
netflix subscription 499,Entertainment
flipkart order 1499,Shopping
doctor's fee 500,Health
car loan emi 20000,Transport
bought grocery 300,Food
uber eats 150,Food
bought movie ticket @150,Entertainment
mobile bill due 400,Utilities
amazon shopping 1999,Shopping
hospital bill 10000,Health
emi for home loan 40000,Home
fuel 1500,Transport
bought vegetables 100,Food
paid tuition fee 10000,Education
booked hotel room @2000,Entertainment
bought shoes 999,Shopping
consulted specialist @3000,Health
household expenses 500,Home
bought fridge 25000,Home
bought chicken 200,Food
paid 100 for rickshaw,Transport
bought medicine 50,Health
emi for car 15000,Transport
bought tv 30000,Home
paid 200 for wifi,Utilities
bought mobile 20000,Shopping
bought laptop 50000,Shopping
consulted therapist @1000,Health
bought groceries 500,Food
paid 500 for electricity,Utilities
booked flight ticket @5000,Transport
bought ac 30000,Home
bought washing machine 20000,Home
paid 1000 for petrol,Transport
bought gym membership 2000,Health
emi for two wheeler 5000,Transport
bought water purifier 15000,Home
bought air purifier 20000,Home
paid 200 for newspaper,Utilities
bought coffee machine 5000,Home
bought microwave 8000,Home
paid 1500 for internet,Utilities
bought refrigerator 40000,Home
consulted dietician @1500,Health
bought sofa 30000,Home
paid 1000 for cable,Utilities
bought bed 20000,Home
bought desk 5000,Home
paid 500 for gas,Utilities
bought chair 3000,Home
bought table 8000,Home
paid 2000 for maintenance,Home
bought fan 2000,Home
bought light 1000,Home
paid 1500 for plumbing,Home
bought bucket 500,Home
paid 1000 for carpenter,Home
bought paint 2000,Home
paid 500 for electrician,Home
uber fare $25,Transport
bought groceries @300,Food
electricity bill due -450,Utilities
amazon prime membership!!! $15,Entertainment
new kicks 1200,Shopping
doc appt 50$,Health
plumber fixed sink $80,Home
lyft-30,Transport
coffee 5 bucks,Food
no idea wat dis is but paid 100,Shopping
broadband bill 75$,Utilities
spotify premium 10,Entertainment
"dentist visit 200$, ouch!",Health
bought ps5 @500,Entertainment
gas bill - paid 120,Utilities
petrol fill up 60$,Transport
gym membership 100/mo,Health
purchased a bed 800,Home
piza hut 40 dollars,Food
"water bill paid, 35 dollars",Utilities
netflix subscription 20,Entertainment
eye exam 75 dollars,Health
bought tv 2500,Home
uber eats - 20 dollars,Food
gas for generator 15,Home
paid 1000 for surgery,Health
amazon shopping 150,Shopping
music lessons 80,Entertainment
new phone case 25,Shopping
train ticket 10,Transport
restaurant bill $50,Food
house cleaning 40,Home
gym clothes 60,Shopping
internet 30,Utilities
car wash 10,Transport
pharmacy 25,Health
movie ticket $12,Entertainment
bought kitchen appliance 200,Home
coffee shop 8 dollars,Food
pet store 30 dollars,Shopping
electricity 120 dollars,Utilities
uber trip $22,Transport
bought a sofa 600,Home
dinner date $80,Food
bought a car tire 120,Transport
cable bill $90,Utilities
purchased books 40,Shopping
bought a bicycle 250,Transport
paid for therapy 100,Health
new laptop 1200,Shopping
breakfast $15,Food
bought flowers 20,Shopping
gas bill paid 45 dollars,Utilities
lyft ride $18,Transport
purchased art 300,Home
coffee 4 bucks,Food
music festival ticket $100,Entertainment
paid for insurance 250,Health
bought a rug 150,Home
uber eats 30 dollars,Food
pet food 25 dollars,Shopping
bought a phone 600,Shopping
electricity bill due 100 dollars,Utilities
bought a chair 80,Home
internet bill 50 dollars,Utilities
gym membership 80 dollars,Health
dinner at a restaurant 60 dollars,Food
train ticket 20 dollars,Transport
new video game 60,Entertainment
bought a TV 1000,Home
purchased clothes 100,Shopping
paid for a doctor visit 150,Health
uber trip 25 dollars,Transport
bought a desk 200,Home
coffee shop 10 dollars,Food
lyft ride 15 dollars,Transport
bought a book 15,Shopping
purchased a bike helmet 30,Shopping
paid for a haircut 30,Shopping
cable bill 80 dollars,Utilities
bought a keyboard 50,Shopping
gym clothes 40,Shopping
bought a watch 150,Shopping
paid for a prescription 20,Health
bought a phone case 10,Shopping
electricity bill due 80 dollars,Utilities
restaurant bill 40 dollars,Food
uber eats 25 dollars,Food
purchased a wallet 20,Shopping
paid for a therapist 100 dollars,Health
bought a pair of shoes 60,Shopping
lyft ride 20 dollars,Transport
bought a bag 30,Shopping
internet bill 40 dollars,Utilities
purchased a coffee maker 50,Home
bought a ticket to a concert 50,Entertainment
paid for a doctor visit 120 dollars,Health
bought a bike 200,Transport
coffee 5 dollars,Food
purchased a phone screen protector 10,Shopping
electricity bill due 60 dollars,Utilities
bought a TV stand 40,Home
uber trip 30 dollars,Transport
bought a pair of socks 10,Shopping
paid for a gym membership 100 dollars,Health
bought a desk lamp 20,Home
lyft ride 25 dollars,Transport
purchased a water bottle 15,Shopping
cable bill 60 dollars,Utilities
bought a bookshelf 50,Home
purchased a ticket to a movie 15,Entertainment
paid for a prescription 30 dollars,Health
bought a phone charger 10,Shopping
bought a chair 60,Home
uber eats 20 dollars,Food
purchased a bike lock 20,Shopping
paid for a therapist 120 dollars,Health
bought a pair of gloves 15,Shopping
lyft ride 30 dollars,Transport
bought a TV 800,Home
coffee 4 dollars,Food
purchased a wallet 25,Shopping
bought a desk 100,Home
paid for a doctor visit 150 dollars,Health
bought a pair of shoes 80,Shopping
purchased a coffee table 60,Home
bought a bike helmet 30,Shopping
purchased a ticket to a concert 60,Entertainment
paid for a gym membership 120 dollars,Health
bought a phone case 15,Shopping
electricity bill due 120 dollars,Utilities
bought a TV stand 50,Home
purchased a water bottle 20,Shopping
paid for a prescription 40 dollars,Health
bought a desk lamp 25,Home
purchased a book 15,Shopping
internet bill 60 dollars,Utilities
bought a pair of socks 15,Shopping
paid for a therapist 150 dollars,Health
bought a TV 1200,Home
purchased a phone screen protector 15,Shopping
bought a bike 250,Transport
purchased a ticket to a movie 20,Entertainment
paid for a doctor visit 200 dollars,Health
bought a desk 150,Home
purchased a wallet 30,Shopping
cable bill 100 dollars,Utilities
bought a pair of shoes 100,Shopping
paid for a gym membership 150 dollars,Health
bought a TV 1500,Home
purchased a coffee table 80,Home
bought a bike lock 25,Shopping
paid for a prescription 50 dollars,Health
bought a phone case 20,Shopping
electricity bill due 150 dollars,Utilities
bought a chair 100,Home
purchased a ticket to a concert 80,Entertainment
paid for a therapist 200 dollars,Health
bought a desk lamp 30,Home
purchased a water bottle 25,Shopping
internet bill 70 dollars,Utilities
bought a TV stand 60,Home
paid for a doctor visit 250 dollars,Health
bought a pair of gloves 20,Shopping
purchased a bike helmet 35,Shopping
cable bill 120 dollars,Utilities
bought a phone 800,Shopping
purchased a coffee maker 60,Home
bought a pair of shoes 120,Shopping
paid for a gym membership 200 dollars,Health
bought a TV 2000,Home
purchased a ticket to a movie 25,Entertainment
paid for a prescription 60 dollars,Health
purchased a wallet 35,Shopping
electricity bill due 200 dollars,Utilities
bought a bike 300,Transport
purchased a water bottle 30,Shopping
internet bill 80 dollars,Utilities
bought a chair 120,Home
paid for a therapist 250 dollars,Health
bought a TV 2500,Home
purchased a coffee table 100,Home
bought a pair of socks 25,Shopping
paid for a doctor visit 300 dollars,Health
bought a desk lamp 35,Home
purchased a ticket to a concert 100,Entertainment
paid for a gym membership 250 dollars,Health
bought a phone case 25,Shopping
electricity bill due 250 dollars,Utilities
bought a TV stand 70,Home
uber eats 35 dollars,Food
purchased a wallet 40,Shopping
cable bill 150 dollars,Utilities
bought a pair of shoes 150,Shopping
paid for a prescription 70 dollars,Health
bought a bike lock 30,Shopping
lyft ride 35 dollars,Transport
purchased a coffee maker 70,Home
uber fare $23.50,Transport
grubbhub,Food
Elec bill paid 150,Utilities
Movie ticket 20,Entertainment
shopping @ macys,Shopping
Rx pickup $15.25,Health
Home Depot - new hammer $8,Home
pizzahut - ordered large pepperoni,Food
filld up gas tank @ shell $45,Transport
comcast internet bill,Utilities
samsung tv @ bestbuy 800,Shopping
plumber fixed sink 300,Home
doordash - ordered sushi $32.75,Food
spotify premium $12,Entertainment
gas bill paid,Utilities
ipad @ apple store,Shopping
eye exam 75,Health
water bill paid $25,Utilities
lyft to airport $60,Transport
walmart shopping 120,Shopping
therapist session,Health
nissan car payment $420,Transport
hulu subscription $10.99,Entertainment
costco grocery 80,Food
att internet bill $95,Utilities
gamestop - new game 60,Entertainment
home insurance premium $150,Home
petco - dog food 30,Shopping
target run 50,Shopping
starbucks coffee 5.50,Food
tire rotation 40,Transport
amazon music subscription $7.99,Entertainment
gym membership 49.99,Health
electricity bill,Utilities
asos - new shoes 80,Shopping
pharmacy pickup,Health
dominos pizza 25,Food
verizon phone bill $120,Utilities
ps4 game @ gamestop,Entertainment
ikea - new shelf 50,Home
uber eats - ordered indian food 22,Food
netflix subscription $17.99,Entertainment
dentist appointment 200,Health
gas station - filled up 35,Transport
lowes - new paint 40,Home
kohls - new pants 60,Shopping
xbox live subscription $9.99,Entertainment
medical bill 500,Health
waste management bill 35,Utilities
t-mobile phone bill $100,Utilities
chipotle 12,Food
disney+ subscription $6.99,Entertainment
cable bill paid 120,Utilities
sephora - new makeup 50,Shopping
chiropractor session 40,Health
car insurance premium $180,Transport
home security system 100,Home
postmates - ordered food 28,Food
sprint phone bill $110,Utilities
itunes purchase 10,Entertainment
pet smart - dog toys 25,Shopping
yoga classes 60,Health
cvs - pharmacy pickup 20,Health
fedex shipping 30,Shopping
google play purchase 15,Entertainment
hvac repair 250,Home
walgreens - pickup 15,Health
taco bell 10,Food
at&t internet bill $90,Utilities
nordstrom - new shoes 100,Shopping
virus scan 20,Utilities
pizza hut - ordered pizza 25,Food
dentist - cleaning 75,Health
car maintenance 150,Transport
itunes subscription $9.99,Entertainment
new mattress 800,Home
grocery shopping 100,Food
spotify purchase 10,Entertainment
therapist - session 100,Health
ups shipping 25,Shopping
restaurant bill 50,Food
dominos - ordered pizza 22,Food
cigna health insurance 250,Health
uber ride 18,Transport
hulu purchase 10,Entertainment
kaiser permanente bill 150,Health
starbucks gift card 20,Food
safeway grocery 80,Food
gas station - filled up 40,Transport
xfinity bill paid 140,Utilities
bought new bike...,Transport
paid $150 for electrcity,Utilities
watched movie @ pvr: Rs.250,Entertainment
bought jacket @ hm,Shopping
dentist appt - $80,Health
rent $1200,Home
dominos - Rs. 400,Food
insurance premium : 500,Health
petrol fillup - 50 liters,Transport
internet bill due - rs 1000,Utilities
new phone case - $25,Shopping
gym membership: $75,Health
movie ticket - rs.200,Entertainment
bought groceries @ spar,Food
water bill: rs 500,Utilities
train ticket - mumbai to delhi: rs. 1500,Transport
bought new shoes @ clarks,Shopping
salon visit - 120,Health
electricity bill - rs 2000,Utilities
groceries from big basket - rs.1000,Food
medical test - $200,Health
booked hotel room for 2 nights - $500,Entertainment
bought tv @ reliance digital,Home
fuel surcharge - rs 50,Transport
phone bill due - rs. 500,Utilities
bought fruits @ local market,Food
gym renewal - $60,Health
car maintenance - $300,Transport
movie streaming subscription - $10,Entertainment
bought kitchen appliances @ croma,Home
booked flight tickets - $800,Transport
bought clothes @ zara,Shopping
doctor consultation - rs. 500,Health
home cleaning services - $100,Home
internet upgrade - $20,Utilities
restaurant bill - rs. 800,Food
bought new laptop @ hp store,Home
car insurance premium - $200,Transport
bought headphones @ sony store,Shopping
paid for uber ride - rs. 100,Transport
salon appointment - $80,Health
bought snacks @ 7eleven,Food
gas bill due - rs 300,Utilities
bought home decor @ ikea,Home
flight tickets - delhi to mumbai: rs. 2500,Transport
bought new phone @ apple store,Shopping
medical bills - rs. 1000,Health
bought groceries @ more,Food
train ticket - rs. 500,Transport
bought new bag @ h&m,Shopping
paid for amazon prime - $15,Entertainment
house rent - rs. 15000,Home
bought kitchen utensils @ supermarket,Home
car wash - rs. 200,Transport
bought new spectacles @ lenskart,Health
bought snacks @ theater - rs. 200,Entertainment
paid for netflix - $12,Entertainment
bought fruits and veggies @ local market,Food
bought new mattress @ sleepwell,Home
paid for insurance - rs. 5000,Health
bought new watch @ fastrack,Shopping
bought new cycle @ decathlon,Transport
paid for wifi - $30,Utilities
bought new phone cover @ mobile store,Shopping
medical emergency - rs. 5000,Health
booked hotel room for 1 night - $200,Entertainment
bought groceries @ reliance fresh,Food
paid for cable tv - $20,Entertainment
bought new laptop bag @ baggit,Shopping
paid plumber to fix leakage - rs. 400,Home
bought new shoes @ bata,Shopping
bought new helmet @ store,Transport
paid for newspaper - $5,Entertainment
bought new spectacles case @ optico,Health
bought new pillow @ home store,Home
paid for car service - rs. 2000,Transport
bought new bag @ da Milano,Shopping
bought new keyboard @ computer store,Home
paid for medical test - rs. 1000,Health
bought new mobile @ store,Shopping
booked flight tickets - $600,Transport
bought new mouse @ computer store,Home
paid for electricity bill - rs. 1500,Utilities
bought new tshirt @ zara,Shopping
bought new socks @ h&m,Shopping
paid for water bill - rs. 500,Utilities
bought new belt @ store,Shopping
paid for internet - $50,Utilities
bought new phone @ store,Shopping
bought new wallet @ store,Shopping
paid for car insurance - rs. 5000,Transport
bought new watch @ store,Shopping
paid for gym membership - $100,Health
Paid 4 pizza @ dominos $23.45,Food
uber fare $12.50 to airport,Transport
electricity bill due - £150,Utilities
bought new sneakers @ footlocker,Shopping
Movie ticket @ cinemark - tix $15 ea.,Entertainment
Home Depot - pipe fix $50,Home
gas station - $25 fill up,Transport
Grubhub - chinese food $18.99,Food
AT&T phone bill - $100,Utilities
GNC - protein powder $40,Health
Oil change @ jiffy lube $75,Transport
Target run...misc stuff,Shopping
Paid rent - $1200,Home
Netflix - $15.99/mo.,Entertainment
Starbucks coffee - $5.50,Food
YMCA membership - $60/mo,Health
Tmobile bill - $120,Utilities
Roadside assist - $100/yr.,Transport
Spotify premium - $9.99/mo.,Entertainment
Kohls - clothes $50,Shopping
Home insurance - $800/yr.,Home
Vet visit - $200,Health
Costco - bulk groceries $100,Food
Lyft - $10 ride,Transport
Water bill - $30,Utilities
Gym membership - $100/mo.,Health
Bought ipod @ bestbuy - $200,Entertainment
Bathroom remodel - $2000,Home
Walmart - misc stuff $30,Shopping
Comcast internet - $60/mo.,Utilities
Eye exam - $50,Health
AAA membership - $100/yr.,Transport
Paid for UBER-45,Transport
pet food @ petco - $25,Shopping
cable bill - $100,Utilities
surgery - $10000,Health
gamestop - ps4 game $60,Entertainment
lowes - paint $20,Home
dunkin donuts coffee - $2.50,Food
verizon bill - $150,Utilities
tires @ discount tire - $500,Transport
amazon prime - $13.99/mo.,Shopping
doctor appt - copay $20,Health
xbox live - $10/mo.,Entertainment
furniture @ ikea - $300,Home
gas @ shell - $25,Transport
itunes - music $10,Entertainment
bought dog @ shelter - $50,Shopping
paid plumber $300 to fix sink,Home
craiglist - laptop $500,Shopping
dentist appt - $200,Health
ATT internet - $60/mo.,Utilities
amc ticket - $15,Entertainment
pet vet visit - $100,Health
macbook @ apple - $1500,Shopping
dominos pizza - $20,Food
cvs - pharmacy $30,Health
hulu - $12.99/mo.,Entertainment
sprint bill - $100,Utilities
UPS - shipping $20,Shopping
oil change - $40,Transport
bought bike @ rei - $200,Shopping
fedex - shipping $30,Shopping
bought ps4 @ gamestop,Entertainment
catering - $500,Food
tivo - $15/mo.,Entertainment
siriusxm - $15/mo.,Entertainment
virus software - $50,Shopping
UPS store - shipping $10,Shopping
car insurance - $150/mo.,Transport
bought furniture,Home
brought lunch @ subway - $8,Food
xfinity - $100/mo.,Utilities
bought book @ barnes & noble - $15,Shopping
car payment - $350,Transport
amazon - $25,Shopping
doordash - food $15,Food
bought shirt @ Gap - $30,Shopping
YMCA - $50,Health
post office - shipping $5,Shopping
geico insurance - $100/mo.,Transport
bought coffee @ starbucks,Food
bought phone case @ bestbuy - $20,Shopping
dish network - $100/mo.,Utilities
bought tv @ best buy - $800,Entertainment
chase bank fee - $30,Shopping
bought purse @ coach - $200,Shopping
bought video game @ gamestop - $50,Entertainment
bought headphones @ best buy - $100,Entertainment
bought flowers @ proflowers - $50,Shopping
